symbol,identifier,series,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,yearLow,nearWKH,nearWKL,perChange365d,perChange30d,date365dAgo,date30dAgo,chartTodayPath,chart30dPath,chart365dPath,meta
BANDHANBNK,,EQ,154.3,155.26,153.4,155,154.13,0.87,0.56,4141559,639415294.01,192.48,128.16,19.47215295095594,-20.94257178526842,-7.58,-4.31,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/BANDHANBNKEQN.svg,https://nsearchives.nseindia.com/30d/BANDHANBNK-EQ.svg,https://nsearchives.nseindia.com/365d/BANDHANBNK-EQ.svg,
TORNTPHARM,,EQ,3828.5,3872.7,3803,3847.1,3826.1,21.0,0.55,559539,2148859170.99,3882.2,2886.45,0.9041265261964843,-33.28136638431292,23.51,8.43,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/TORNTPHARMEQN.svg,https://nsearchives.nseindia.com/30d/TORNTPHARM-EQ.svg,https://nsearchives.nseindia.com/365d/TORNTPHARM-EQ.svg,
KFINTECH,,EQ,1080,1093.8,1076.2,1089,1083.1,5.9,0.54,276013,299617631.76,1641.35,784.15,33.65217656197642,-38.876490467385075,10.91,-3.54,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/KFINTECHEQN.svg,https://nsearchives.nseindia.com/30d/KFINTECH-EQ.svg,https://nsearchives.nseindia.com/365d/KFINTECH-EQ.svg,
MOTHERSON,,EQ,111.31,113.47,108.8,109.71,109.13,0.58,0.53,68460187,7603872970.09,116.38,71.5,5.73122529644269,-53.44055944055943,-33.58,2.4,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/MOTHERSONEQN.svg,https://nsearchives.nseindia.com/30d/MOTHERSON-EQ.svg,https://nsearchives.nseindia.com/365d/MOTHERSON-EQ.svg,
TITAGARH,,EQ,846,887.35,846,867.25,863,4.25,0.49,1545473,1343665135.66,1370,654.55,36.697080291970806,-32.49560766939119,-21.97,-1.65,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/TITAGARHEQN.svg,https://nsearchives.nseindia.com/30d/TITAGARH-EQ.svg,https://nsearchives.nseindia.com/365d/TITAGARH-EQ.svg,
RELIANCE,,EQ,1505.5,1520.9,1505.5,1518.2,1510.9,7.3,0.48,7682823,11651077907.73,1551,1114.85,2.1147646679561545,-36.17975512400773,19.82,8.62,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/RELIANCEEQN.svg,https://nsearchives.nseindia.com/30d/RELIANCE-EQ.svg,https://nsearchives.nseindia.com/365d/RELIANCE-EQ.svg,
DABUR,,EQ,522,527,517.55,524.7,522.2,2.5,0.48,1789377,936971478.51,577,433.3,9.06412478336221,-21.093930302330957,3.33,4.84,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/DABUREQN.svg,https://nsearchives.nseindia.com/30d/DABUR-EQ.svg,https://nsearchives.nseindia.com/365d/DABUR-EQ.svg,
HEROMOTOCO,,EQ,5521.5,5629.5,5462.5,5534,5508.5,25.5,0.46,938647,5227541031.81,5717,3344,3.2009795347210077,-65.49043062200957,20.3,-0.73,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/HEROMOTOCOEQN.svg,https://nsearchives.nseindia.com/30d/HEROMOTOCO-EQ.svg,https://nsearchives.nseindia.com/365d/HEROMOTOCO-EQ.svg,
EXIDEIND,,EQ,378.55,382.4,378,381.4,379.7,1.7,0.45,1724815,655981640.8,472.5,328,19.280423280423285,-16.280487804878042,-8.87,-4.24,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/EXIDEINDEQN.svg,https://nsearchives.nseindia.com/30d/EXIDEIND-EQ.svg,https://nsearchives.nseindia.com/365d/EXIDEIND-EQ.svg,
UNOMINDA,,EQ,1302.2,1310.7,1290.2,1309,1303.2,5.8,0.45,391332,509545570.56,1382,767.6,5.2821997105644,-70.53152683689422,31.36,5.83,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/UNOMINDAEQN.svg,https://nsearchives.nseindia.com/30d/UNOMINDA-EQ.svg,https://nsearchives.nseindia.com/365d/UNOMINDA-EQ.svg,
BAJAJFINSV,,EQ,2050,2072,2044.2,2064.9,2056.2,8.7,0.42,1433249,2945441354.92,2195,1551.65,5.9271070615034125,-33.077691489704506,25.98,-1.17,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/BAJAJFINSVEQN.svg,https://nsearchives.nseindia.com/30d/BAJAJFINSV-EQ.svg,https://nsearchives.nseindia.com/365d/BAJAJFINSV-EQ.svg,
CIPLA,,EQ,1526.9,1534.4,1522,1532,1525.8,6.2,0.41,810970,1240581357.5,1673,1335,8.427973699940226,-14.756554307116104,2.16,-2.38,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/CIPLAEQN.svg,https://nsearchives.nseindia.com/30d/CIPLA-EQ.svg,https://nsearchives.nseindia.com/365d/CIPLA-EQ.svg,
ADANIENSOL,,EQ,1027,1050,1017,1025.5,1021.4,4.1,0.4,2190871,2260935054.58,1050,588,2.3333333333333335,-74.4047619047619,16.39,8.01,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/ADANIENSOLEQN.svg,https://nsearchives.nseindia.com/30d/ADANIENSOL-EQ.svg,https://nsearchives.nseindia.com/365d/ADANIENSOL-EQ.svg,
POWERGRID,,EQ,270.35,272.3,269.5,270.9,269.85,1.05,0.39,10308317,2792316908.96,345.4,247.3,21.569195136074118,-9.543065103113612,-13.07,-7.04,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/POWERGRIDEQN.svg,https://nsearchives.nseindia.com/30d/POWERGRID-EQ.svg,https://nsearchives.nseindia.com/365d/POWERGRID-EQ.svg,
KOTAKBANK,,EQ,2066,2085.5,2063,2082.8,2075.2,7.6,0.37,2440551,5063045077.05,2301.9,1679.05,9.518224075763497,-24.04633572555911,21.77,-5.7,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/KOTAKBANKEQN.svg,https://nsearchives.nseindia.com/30d/KOTAKBANK-EQ.svg,https://nsearchives.nseindia.com/365d/KOTAKBANK-EQ.svg,
INDHOTEL,,EQ,712,724,712,720.35,717.7,2.65,0.37,3854104,2768094574.88,894.9,672.6,19.504972622639396,-7.099316086827237,-2.77,-2.34,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/INDHOTELEQN.svg,https://nsearchives.nseindia.com/30d/INDHOTEL-EQ.svg,https://nsearchives.nseindia.com/365d/INDHOTEL-EQ.svg,
